id,status,maxEntryPerUser,nftAddress,nftId,winner,extractedNumber,raisedInWei,raisedInEther,platformPercentage,requiredNFT,totalEntries,cancellingDate
446,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","5246","0xC02d36D600c81ccFC3A0eFF79C6529484229dA9e","3","220000000000000000","0.22","0","0x0000000000000000000000000000000000000000","24","fine non impostata"
447,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","4927","0x24ED53A93711be069133886eA295296151fbF55d","10","200000000000000000","0.2","0","0x0000000000000000000000000000000000000000","21","fine non impostata"
448,"ended","50","0x02BeeD1404c69e62b76Af6DbdaE41Bd98bcA2Eab","1869","0x43462694c43C4EC61921f2739B97F6c55a831cEf","19","192000000000000000","0.192","0","0x0000000000000000000000000000000000000000","26","fine non impostata"
449,"ended","50","0x02BeeD1404c69e62b76Af6DbdaE41Bd98bcA2Eab","4566","0x59c8c4911b8b31B525893953513E7f1206026962","3","216000000000000000","0.216","0","0x0000000000000000000000000000000000000000","29","fine non impostata"
450,"ended","50","0x02BeeD1404c69e62b76Af6DbdaE41Bd98bcA2Eab","3256","0xb4d4133B76C798d43886d0Af756822f2DE008269","4","272000000000000000","0.272","0","0x0000000000000000000000000000000000000000","37","fine non impostata"
451,"ended","50","0x02BeeD1404c69e62b76Af6DbdaE41Bd98bcA2Eab","3448","0x90043825a72E4cD911Fd56d0B001EA17d4AfE1B5","18","176000000000000000","0.176","0","0x0000000000000000000000000000000000000000","23","fine non impostata"
452,"ended","50","0x02BeeD1404c69e62b76Af6DbdaE41Bd98bcA2Eab","4339","0x80b5a6C5813a94d81d4F6030EC88D3279dF258F9","3","192000000000000000","0.192","0","0x0000000000000000000000000000000000000000","26","fine non impostata"
453,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","6004","0x3cD882758d21239DC5e0DdBFE16c3F8e653832E8","20","210000000000000000","0.21","0","0x0000000000000000000000000000000000000000","24","fine non impostata"
454,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","2591","0x3cD882758d21239DC5e0DdBFE16c3F8e653832E8","5","170000000000000000","0.17","0","0x0000000000000000000000000000000000000000","18","fine non impostata"
455,"ended","50","0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258","92786","0xAdAf51F1E434C446aBc90fFdAF1c3A967e6f2ea1","51","2640000000000000000","2.64","0","0x0000000000000000000000000000000000000000","72","fine non impostata"
456,"ended","50","0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258","48303","0xE894411467b04E93B785325Fd5F03D40A1617c2D","15","3840000000000000000","3.84","0","0x0000000000000000000000000000000000000000","103","fine non impostata"
457,"ended","50","0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258","48387","0x50f2eF780e7eBF68460F25A3BC637890C6ab4647","41","2560000000000000000","2.56","0","0x0000000000000000000000000000000000000000","69","fine non impostata"
458,"ended","50","0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258","96405","0x17639360386b6Ff279ed727fa575E9245E98E64A","45","2880000000000000000","2.88","0","0x0000000000000000000000000000000000000000","77","fine non impostata"
459,"ended","50","0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258","53171","0x6627652C8f6232B53e64B9aF93A4A8B6683A7fCE","2","2560000000000000000","2.56","0","0x0000000000000000000000000000000000000000","70","fine non impostata"
460,"ended","50","0x8270FC3B2d23DE703b265b2ABE008883954fea8E","1078","0x670B3BA01517b3068b28987de6bDAcbF0CE252df","7","460000000000000000","0.46","0","0x0000000000000000000000000000000000000000","25","fine non impostata"
461,"ended","50","0x8270FC3B2d23DE703b265b2ABE008883954fea8E","2531","0x57fD15a750620cFF1056EAa4A6C2E046e2F241d1","7","340000000000000000","0.34","0","0x0000000000000000000000000000000000000000","17","fine non impostata"
462,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","7195","0xc83F00a445d57F8CFB3f63CA6D2D07a92B8E890f","3","260000000000000000","0.26","0","0x0000000000000000000000000000000000000000","28","fine non impostata"
